Italian word,English translation
e,at / and / e.
non,not / (do) not / n't
che,that / what a / than
di,with / made of / for
la,her / the / you
il,the / a
un,a / an / one
a,away / for / per
per,for / per / times
è,is / he’s / it's
in,at / to the / to
una,one / an / a
mi,myself / about me / me
sono,is / am / it's
ho,hold / I'm / i've
l',her / the / him
si,themselves / himself / herself
ha,is / hold / offers
ma,but / though / only
lo,the / him / it
cosa,what
con,with / to / featuring
no,no / not / haven't
le,her / you / to her
ti,it'll / do I / do
se,if / whether
da,starting / return / offers
i,the / his
come,as
io,I
ci,one another / about it / it'll
hai,you have / did you / you're
questo,this one / this / that
bene,well
qui,here
sei,are you / you're / six
del,week's / city's / country's
tu,you
solo,only
mio,mine / my / dad's
al,with the / to the / with
me,me / to me / myself
tutto,everything
c',there / us (elided)
te,to your place / in your house / to your house
era,age / were / felt
della,week's / of the / earth's
mia,mine / my / mia
fatto,made / done / fact
fare,do
essere,to be / would've / being
so,know / knew / I know how to
quando,when
sì,yes
ora,now
lei,she / her / do you
gli,he / him / with him
ne,of it / some / from there
oh,oh
questa,this one / this / that
detto,said / known as / (I) dictate
ok,ok / okay
va,must be / fit / does he go
perche,because / why
quello,that / one's / that one
mai,never
alla,al / to the / of the
o,or
anche,even / also / too
stato,country's / fitted / stayed
abbiamo,hold / do we have / ve
tutti,all / everybody / everyone
dei,gods / any / of the
grazie,thank you
chi,who
sta,is / stays
molto,very
più,most / plus / more
voglio,want / I take / I want
perché,because
tuo,your / yours
beh,well
sia,be (subjunctive)
nel,in / in the / many-sided
lui,he
allora,so
posso,I can / I may / I am able to
piu,more / most
ehi,hey
prima,before
tua,your / yours / 's
suo,his own / his / her
niente,any / no / nothingness
qualcosa,something
sai,know / you know / do you know how
siamo,did we / feel / we've
un',an / a / each
cosi,so / like this
davvero,really / truly / indeed
ancora,still
hanno,hold / they're / they have
stai,you are / you stay
fa,is / hold / makes
sua,her / his / hers
così,so
casa,home / place / house
uno,an / a / someone
dove,where
su,fits / on to / on top of
vero,right
vuoi,you want / do you want / want
noi,we
due,two
quindi,then / so / therefore
dire,said / to say / tell
d',of / 's / in
delle,a few / of the / than
quella,that / that one / those
sempre,always
altro,other / far / else
sto,I am / I stay
andare,let's / fell / passed
ad,to / at (before vowel)
po,The river Po
loro,they
devo,I have to / I need to / I must
quel,that / that one / what
forse,maybe
li,them / li
proprio,exact / proper / peculiar
certo,of course
tempo,time
nella,inside / in the / into
poi,then
vi,for you / you / yourselves
credo,I believe / I think
vita,alive / life / waistline
cose,things
sul,on to / on top of / upwards
quanto,however much / as much as / how long
puoi,can / you can / you are able to
fuori,outside
anni,years
cui,which / whom / whose
andiamo,let's / we're going / we go
dell',with / of the / kind
parte,leave / departs / fit
visto,saw / watched / visa
qualcuno,someone else / any / a few
all',in the / to / at the
lavoro,labour / work / d'oeuvre
voi,you
ciao,hello
dio,god
volta,time / turns / times
dopo,next / then / later
adesso,now
stata,been (f.)
uomo,man
padre,father / dad / dad's
devi,you have to / have to / need to
bisogno,need
gia,already
amico,friend / friends / partner
ed,and / e.
posto,site / assuming that / given that
nessuno,no one
via,starting signal / highway / away
cos',apocopic form of cosa what
fai,you have / makes / made
signore,sir / ladies / gentleman
meglio,better
cazzo,fuck! / shit! / good grief
dai,you give / come on
dal,to / from the / at
vuole,wants / she wants / he wants
sembra,to seem; to look ; to appear / to sound / taste or feel
giorno,day / daylight
ogni,every
modo,mood / mode / manner
senza,without / except / out of
vedere,try / saw / viewed
dobbiamo,we need to / we have to / we must
signor,Mr
qualche,a few / some / any
dispiace,disappointment / grief / regret / sorrow
penso,I think
ecco,that's / here are / here’s
parlare,to mention / let's / speak
tra,among / between / in
mamma,mom / mum / mama
già,already
sarebbe,would be
dalla,like / with the / through
troppo,too
fosse,was/were (subj.)
possiamo,can we / we are able to / we can
ce,there / us
nuovo,new / fresh / recent
male,bad
madre,mother / mom's
avete,you have / you own / you've
tanto,a lot of
favore,favour
successo,success / hit / happened
vai,go / you go / you are going
sulla,on / about / come on
giusto,legitimate / righteous person / even
sa,know / you know / you hear
miei,mine / folks / my
aspetta,to wait for / await / wait
avere,hold / offers / offered
altra,other (f.)
farlo,to do / to make
alle,al / to the / for
facendo,playing / having (a meal) / acting as
abbia,have (subj.)
momento,moment / time / since
ero,(I) was being / felt / (I) was
aveva,had
ragazzi,guys
deve,he has to / owes / he must
persone,people
nostro,our / ours / us's
tipo,like / kind / average
prego,you're welcome
grande,wide / large / safest
può,can / she is able to / you can
senti,you hear / listen
appena,only / the moment / as soon as
potrebbe,it could / she would be able to / he would be able to
soldi,money
dice,says
sapere,know / hear / knew
tre,three
oggi,today
questi,these / these ones / this
piace,like / likes / does like
idea,idea / vision / thought
siete,did you / are you / you're
ai,to the / at / on
avevo,I had
figlio,child / son / boy
accordo,accord / agreement / arrangement / chord
gente,people
